iter	Passed	Remaining
0	3	3242
1	7	3570
2	10	3361
3	13	3258
4	16	3216
5	19	3170
6	22	3127
7	25	3113
8	28	3103
9	31	3094
10	34	3109
11	37	3123
12	40	3102
13	43	3097
14	47	3099
15	50	3094
16	53	3087
17	56	3083
18	59	3072
19	62	3060
20	66	3103
21	70	3125
22	75	3188
23	79	3229
24	83	3241
25	86	3233
26	89	3232
27	92	3223
28	95	3211
29	99	3201
30	101	3187
31	105	3184
32	108	3168
33	111	3156
34	114	3152
35	117	3140
36	120	3132
37	123	3121
38	126	3111
39	129	3103
40	132	3094
41	135	3089
42	138	3084
43	141	3074
44	144	3076
45	148	3076
46	151	3076
47	154	3071
48	157	3062
49	160	3057
50	163	3051
51	166	3044
52	169	3036
53	173	3034
54	176	3029
55	179	3021
56	182	3013
57	185	3006
58	187	2997
59	191	2993
60	194	2987
61	197	2982
62	200	2976
63	203	2969
64	206	2963
65	209	2958
66	212	2952
67	214	2946
68	217	2940
69	220	2935
70	223	2929
71	226	2922
72	229	2918
73	232	2912
74	235	2906
75	238	2901
76	241	2896
77	244	2891
78	247	2887
79	250	2881
80	253	2876
81	256	2872
82	259	2866
83	262	2863
84	265	2858
85	268	2854
86	271	2849
87	274	2844
88	277	2839
89	280	2833
90	283	2830
91	286	2824
92	289	2819
93	292	2817
94	295	2812
95	298	2808
96	301	2804
97	304	2798
98	307	2794
99	310	2790
100	312	2785
101	315	2780
102	318	2776
103	321	2771
104	324	2766
105	327	2761
106	330	2758
107	333	2755
108	336	2752
109	339	2750
110	343	2751
111	347	2754
112	351	2756
113	354	2755
114	357	2754
115	361	2754
116	364	2754
117	368	2753
118	371	2749
119	374	2743
120	377	2739
121	380	2735
122	383	2732
123	386	2727
124	389	2723
125	392	2720
126	395	2717
127	398	2714
128	401	2710
129	404	2707
130	407	2702
131	410	2698
132	413	2693
133	416	2689
134	419	2685
135	422	2681
136	426	2684
137	429	2685
138	433	2684
139	437	2685
140	440	2681
141	443	2677
142	446	2672
143	449	2670
144	452	2667
145	455	2665
146	458	2660
147	461	2657
148	464	2653
149	467	2650
150	470	2647
151	473	2643
152	476	2638
153	479	2634
154	482	2630
155	485	2626
156	488	2623
157	491	2620
158	494	2615
159	497	2611
160	500	2607
161	503	2604
162	506	2601
163	509	2596
164	512	2592
165	515	2589
166	517	2580
167	520	2577
168	523	2573
169	526	2570
170	529	2566
171	532	2562
172	535	2559
173	538	2556
174	541	2552
175	544	2547
176	547	2544
177	550	2540
178	553	2537
179	556	2533
180	559	2529
181	562	2526
182	565	2522
183	568	2519
184	571	2515
185	573	2511
186	576	2508
187	579	2504
188	582	2500
189	585	2496
190	588	2492
191	591	2488
192	594	2484
193	597	2480
194	600	2477
195	603	2473
196	606	2470
197	609	2467
198	612	2464
199	615	2462
200	618	2457
201	621	2454
202	624	2451
203	627	2448
204	630	2445
205	633	2441
206	636	2439
207	639	2435
208	642	2430
209	645	2427
210	648	2424
211	651	2420
212	654	2417
213	657	2414
214	660	2410
215	663	2407
216	666	2404
217	669	2402
218	672	2398
219	675	2395
220	678	2391
221	681	2388
222	684	2385
223	687	2381
224	690	2377
225	693	2374
226	696	2370
227	699	2366
228	702	2363
229	705	2361
230	708	2357
231	711	2354
232	714	2351
233	717	2347
234	720	2343
235	723	2341
236	725	2337
237	729	2334
238	731	2330
239	735	2327
240	738	2324
241	740	2320
242	744	2317
243	746	2313
244	749	2310
245	752	2307
246	755	2304
247	758	2301
248	761	2297
249	764	2294
250	767	2290
251	770	2287
252	773	2283
253	776	2279
254	779	2276
255	782	2273
256	785	2270
257	788	2267
258	791	2264
259	794	2260
260	797	2257
261	800	2254
262	803	2251
263	806	2247
264	809	2244
265	812	2241
266	815	2238
267	818	2234
268	821	2232
269	824	2228
270	827	2225
271	830	2222
272	833	2218
273	836	2215
274	839	2213
275	842	2210
276	845	2207
277	848	2204
278	851	2201
279	854	2197
280	857	2194
281	860	2191
282	863	2188
283	866	2185
284	869	2182
285	872	2178
286	875	2176
287	878	2172
288	881	2169
289	884	2166
290	887	2163
291	891	2160
292	894	2157
293	897	2154
294	900	2151
295	903	2147
296	906	2144
297	909	2141
298	912	2138
299	915	2135
300	917	2131
301	920	2128
302	923	2125
303	926	2121
304	930	2119
305	933	2116
306	935	2112
307	939	2110
308	942	2107
309	945	2103
310	948	2100
311	951	2097
312	954	2094
313	957	2091
314	960	2088
315	963	2085
316	966	2082
317	969	2079
318	973	2077
319	976	2075
320	980	2073
321	983	2071
322	987	2070
323	991	2068
324	994	2066
325	998	2065
326	1002	2062
327	1005	2060
328	1009	2059
329	1013	2057
330	1017	2055
331	1020	2054
332	1025	2054
333	1029	2052
334	1033	2051
335	1037	2049
336	1040	2046
337	1043	2044
338	1047	2042
339	1051	2041
340	1055	2039
341	1058	2037
342	1062	2034
343	1065	2032
344	1069	2030
345	1072	2027
346	1075	2024
347	1078	2021
348	1081	2018
349	1085	2015
350	1088	2011
351	1090	2008
352	1093	2004
353	1096	2001
354	1099	1998
355	1102	1994
356	1105	1991
357	1108	1987
358	1111	1984
359	1114	1981
360	1117	1977
361	1120	1974
362	1123	1971
363	1126	1967
364	1129	1964
365	1131	1960
366	1134	1957
367	1137	1954
368	1141	1951
369	1144	1948
370	1147	1944
371	1150	1941
372	1153	1938
373	1156	1935
374	1159	1932
375	1162	1929
